gov-unnamed-3-party,gov-unnamed-1-seats,gov-Utbildningsminister-name,gov-Utbildningsminister-party,gov-Finansminister-name,seatsInParliament-FP,gov-Statsminister-name,seatsInParliament-M,seatsInParliament-S,LKFV,seatsInParliament-V,seatsInParliament-SD,gov-Utrikesminister-name,gov-unnamed-0-seats,seatsInParliament-C,gov-unnamed-1-party,gov-Finansminister-party,gov-unnamed-3-seats,gov-unnamed-0-party,gov-unnamed-2-party,gov-Statsminister-party,gov-unnamed-2-seats,VDNAMN,seatsInParliament-MP,gov-Utrikesminister-party,seatsInParliament-KD,seatsInParliament-PP,seatsInParliament-SPI,seatsInParliament-OVR
,1,Jan Björklund,FP,Anders Borg,26,Fredrik Reinfeldt,161,31,01250401,,,Cecilia Wikström,15,42,FP,M,,M,,M,,Lovö,60,FP,29,,,
,1,Jan Björklund,FP,Anders Borg,31,Fredrik Reinfeldt,170,52,01250901,17,15,Cecilia Wikström,15,16,FP,M,,M,,M,,Färingsö 1 Färingsö N,26,FP,22,,,
,2,Jan Björklund,FP,Anders Borg,33,Fredrik Reinfeldt,155,47,01250902,21,15,Cecilia Wikström,14,24,FP,M,,M,,M,,Färingsö 2 Färentuna Hilleshög,37,FP,17,,,
,1,Jan Björklund,FP,Anders Borg,33,Fredrik Reinfeldt,167,60,01250903,15,,Cecilia Wikström,15,25,FP,M,,M,,M,,Färingsö 3 Svartsjö Sånga,29,FP,20,,,
,1,Jan Björklund,FP,Anders Borg,34,Fredrik Reinfeldt,171,59,01250904,,15,Cecilia Wikström,15,22,FP,M,,M,,M,,Färingsö 4 Stenhamra,24,FP,24,,,
,0,Jan Björklund,FP,Anders Borg,21,Fredrik Reinfeldt,161,44,01250905,14,18,Cecilia Wikström,16,30,FP,M,,M,,M,,Färingsö 5 Skå,37,FP,24,,,
,2,Jan Björklund,FP,Anders Borg,36,Fredrik Reinfeldt,167,46,01260101,,,Cecilia Wikström,14,30,FP,M,,M,,M,,Skogsäng,39,FP,31,,,
,2,Jan Björklund,FP,Anders Borg,40,Fredrik Reinfeldt,173,56,01260102,,15,Cecilia Wikström,14,16,FP,M,,M,,M,,Milsten,24,FP,25,,,
,,Tomas Tobé,M,Anders Borg,36,Fredrik Reinfeldt,182,51,01260103,,,Carl Bildt,16,25,,M,,M,,M,,Fridhem,35,M,20,,,
,,Tomas Tobé,M,Anders Borg,42,Fredrik Reinfeldt,189,42,01260104,,,Carl Bildt,16,23,,M,,M,,M,,Källbrink,31,M,22,,,
